,id_cat,id,org_resource,concept_name,time_timestamp,org_role,case_Rfp_id,case_Permit_travel_permit_number,case_Task,case_OrganizationalEntity,case_RequestedAmount,case_Activity,case_Permit_TaskNumber,case_Permit_BudgetNumber,case_Permit_ProjectNumber,case_Project,case_concept_name,case_Permit_OrganizationalEntity,case_Permit_RequestedBudget,case_Cost_Type,case_Permit_id,case_Permit_ActivityNumber,case_RfpNumber
13,st_step_class_0,76320,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2017-01-10 10:19:16,EMPLOYEE,76316,76315,UNKNOWN,65463,1173,UNKNOWN,UNKNOWN,2233,UNKNOWN,503,76316,65455,3553,0,76314,UNKNOWN,76317
14,st_step_class_0,76322,STAFF MEMBER,Permit APPROVED by SUPERVISOR,2017-01-10 10:19:23,SUPERVISOR,76316,76315,UNKNOWN,65463,1173,UNKNOWN,UNKNOWN,2233,UNKNOWN,503,76316,65455,3553,0,76314,UNKNOWN,76317
15,st_step_class_0,76321,STAFF MEMBER,Permit FINAL_APPROVED by DIRECTOR,2017-01-10 13:56:18,DIRECTOR,76316,76315,UNKNOWN,65463,1173,UNKNOWN,UNKNOWN,2233,UNKNOWN,503,76316,65455,3553,0,76314,UNKNOWN,76317
16,st_step_class_0,76323,STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2017-01-30 11:37:40,EMPLOYEE,76316,76315,UNKNOWN,65463,1173,UNKNOWN,UNKNOWN,2233,UNKNOWN,503,76316,65455,3553,0,76314,UNKNOWN,76317
17,st_step_class_0,76324,STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-30 11:40:57,SUPERVISOR,76316,76315,UNKNOWN,65463,1173,UNKNOWN,UNKNOWN,2233,UNKNOWN,503,76316,65455,3553,0,76314,UNKNOWN,76317
18,rp_request_class_15,76316,SYSTEM,Request Payment,2017-02-01 09:40:00,UNDEFINED,76316,76315,UNKNOWN,65463,1173,UNKNOWN,UNKNOWN,2233,UNKNOWN,503,76316,65455,3553,0,76314,UNKNOWN,76317
19,rp_request_class_16,76316,SYSTEM,Payment Handled,2017-02-06 16:31:45,UNDEFINED,76316,76315,UNKNOWN,65463,1173,UNKNOWN,UNKNOWN,2233,UNKNOWN,503,76316,65455,3553,0,76314,UNKNOWN,76317
20,st_step_class_0,73541,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2017-01-10 10:34:01,EMPLOYEE,73536,UNKNOWN,11190,65463,790,505,427,899,2260,503,73536,65455,3627,0,73535,UNKNOWN,73537
21,st_step_class_0,73540,STAFF MEMBER,Permit APPROVED by SUPERVISOR,2017-01-10 10:34:09,SUPERVISOR,73536,UNKNOWN,11190,65463,790,505,427,899,2260,503,73536,65455,3627,0,73535,UNKNOWN,73537
22,st_step_class_0,73538,STAFF MEMBER,Permit FINAL_APPROVED by DIRECTOR,2017-01-12 09:56:40,DIRECTOR,73536,UNKNOWN,11190,65463,790,505,427,899,2260,503,73536,65455,3627,0,73535,UNKNOWN,73537
23,st_step_class_0,73542,STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2017-01-13 10:23:25,EMPLOYEE,73536,UNKNOWN,11190,65463,790,505,427,899,2260,503,73536,65455,3627,0,73535,UNKNOWN,73537
24,st_step_class_0,73543,STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-13 10:24:18,SUPERVISOR,73536,UNKNOWN,11190,65463,790,505,427,899,2260,503,73536,65455,3627,0,73535,UNKNOWN,73537
25,rp_request_class_15,73536,SYSTEM,Request Payment,2017-01-18 10:02:30,UNDEFINED,73536,UNKNOWN,11190,65463,790,505,427,899,2260,503,73536,65455,3627,0,73535,UNKNOWN,73537
26,rp_request_class_16,73536,SYSTEM,Payment Handled,2017-01-23 16:32:19,UNDEFINED,73536,UNKNOWN,11190,65463,790,505,427,899,2260,503,73536,65455,3627,0,73535,UNKNOWN,73537
27,st_step_class_0,73539,STAFF MEMBER,Permit REJECTED by MISSING,2017-02-24 11:50:45,MISSING,73536,UNKNOWN,11190,65463,790,505,427,899,2260,503,73536,65455,3627,0,73535,UNKNOWN,73537
28,st_step_class_0,185376,STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2017-01-10 16:10:10,EMPLOYEE,185372,424,47027,65457,456,505,427,425,426,503,185372,65454,923,0,423,UNKNOWN,185373
29,st_step_class_0,185374,STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-10 16:15:32,SUPERVISOR,185372,424,47027,65457,456,505,427,425,426,503,185372,65454,923,0,423,UNKNOWN,185373
30,st_step_class_0,185375,STAFF MEMBER,Request For Payment REJECTED by MISSING,2017-01-20 09:12:42,MISSING,185372,424,47027,65457,456,505,427,425,426,503,185372,65454,923,0,423,UNKNOWN,185373
31,st_step_class_0,76200,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2017-01-11 11:36:23,EMPLOYEE,76195,76194,UNKNOWN,65463,181,UNKNOWN,UNKNOWN,4164,UNKNOWN,503,76195,65455,265,0,76193,UNKNOWN,76196
32,st_step_class_0,76199,STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2017-01-11 11:36:25,SUPERVISOR,76195,76194,UNKNOWN,65463,181,UNKNOWN,UNKNOWN,4164,UNKNOWN,503,76195,65455,265,0,76193,UNKNOWN,76196
33,st_step_class_0,76202,STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2017-01-17 16:19:43,EMPLOYEE,76195,76194,UNKNOWN,65463,181,UNKNOWN,UNKNOWN,4164,UNKNOWN,503,76195,65455,265,0,76193,UNKNOWN,76196
34,st_step_class_0,76201,STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-17 16:19:57,SUPERVISOR,76195,76194,UNKNOWN,65463,181,UNKNOWN,UNKNOWN,4164,UNKNOWN,503,76195,65455,265,0,76193,UNKNOWN,76196
35,rp_request_class_15,76195,SYSTEM,Request Payment,2017-01-23 09:27:26,UNDEFINED,76195,76194,UNKNOWN,65463,181,UNKNOWN,UNKNOWN,4164,UNKNOWN,503,76195,65455,265,0,76193,UNKNOWN,76196
36,rp_request_class_16,76195,SYSTEM,Payment Handled,2017-01-26 16:30:47,UNDEFINED,76195,76194,UNKNOWN,65463,181,UNKNOWN,UNKNOWN,4164,UNKNOWN,503,76195,65455,265,0,76193,UNKNOWN,76196
37,st_step_class_0,73742,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2017-01-11 12:30:51,EMPLOYEE,73737,73735,73739,65458,1125,505,427,698,73736,503,73737,65458,2443,0,73734,UNKNOWN,73738
38,st_step_class_0,73743,STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2017-01-11 12:30:57,SUPERVISOR,73737,73735,73739,65458,1125,505,427,698,73736,503,73737,65458,2443,0,73734,UNKNOWN,73738
39,st_step_class_0,73744,STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2017-04-06 14:05:59,EMPLOYEE,73737,73735,73739,65458,1125,505,427,698,73736,503,73737,65458,2443,0,73734,UNKNOWN,73738
40,st_step_class_0,73745,STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-04-06 14:07:49,SUPERVISOR,73737,73735,73739,65458,1125,505,427,698,73736,503,73737,65458,2443,0,73734,UNKNOWN,73738
41,rp_request_class_15,73737,SYSTEM,Request Payment,2017-04-10 14:14:41,UNDEFINED,73737,73735,73739,65458,1125,505,427,698,73736,503,73737,65458,2443,0,73734,UNKNOWN,73738
42,rp_request_class_16,73737,SYSTEM,Payment Handled,2017-04-13 15:30:56,UNDEFINED,73737,73735,73739,65458,1125,505,427,698,73736,503,73737,65458,2443,0,73734,UNKNOWN,73738
43,st_step_class_0,77112,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2017-01-11 12:48:46,EMPLOYEE,77107,77106,77109,65463,472,505,UNKNOWN,1370,UNKNOWN,503,77107,65455,1770,0,77105,UNKNOWN,77108
44,st_step_class_0,77113,STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2017-01-11 12:48:57,SUPERVISOR,77107,77106,77109,65463,472,505,UNKNOWN,1370,UNKNOWN,503,77107,65455,1770,0,77105,UNKNOWN,77108
45,st_step_class_0,77116,STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2017-04-06 13:53:45,EMPLOYEE,77107,77106,77109,65463,472,505,UNKNOWN,1370,UNKNOWN,503,77107,65455,1770,0,77105,UNKNOWN,77108
46,st_step_class_0,77114,STAFF MEMBER,Request For Payment APPROVED by PRE_APPROVER,2017-04-06 14:19:05,PRE_APPROVER,77107,77106,77109,65463,472,505,UNKNOWN,1370,UNKNOWN,503,77107,65455,1770,0,77105,UNKNOWN,77108
47,st_step_class_0,77115,STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-04-11 15:25:08,SUPERVISOR,77107,77106,77109,65463,472,505,UNKNOWN,1370,UNKNOWN,503,77107,65455,1770,0,77105,UNKNOWN,77108
48,rp_request_class_15,77107,SYSTEM,Request Payment,2017-04-19 10:01:05,UNDEFINED,77107,77106,77109,65463,472,505,UNKNOWN,1370,UNKNOWN,503,77107,65455,1770,0,77105,UNKNOWN,77108
49,rp_request_class_16,77107,SYSTEM,Payment Handled,2017-04-24 15:31:11,UNDEFINED,77107,77106,77109,65463,472,505,UNKNOWN,1370,UNKNOWN,503,77107,65455,1770,0,77105,UNKNOWN,77108
50,st_step_class_0,185393,STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2017-01-11 13:20:06,EMPLOYEE,185391,424,55559,65458,910,505,427,425,426,503,185391,65454,923,0,423,UNKNOWN,185392
51,st_step_class_0,185394,STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-11 13:20:52,SUPERVISOR,185391,424,55559,65458,910,505,427,425,426,503,185391,65454,923,0,423,UNKNOWN,185392
52,rp_request_class_15,185391,SYSTEM,Request Payment,2017-01-25 10:31:55,UNDEFINED,185391,424,55559,65458,910,505,427,425,426,503,185391,65454,923,0,423,UNKNOWN,185392
53,rp_request_class_16,185391,SYSTEM,Payment Handled,2017-01-30 16:31:40,UNDEFINED,185391,424,55559,65458,910,505,427,425,426,503,185391,65454,923,0,423,UNKNOWN,185392
54,st_step_class_0,76218,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2017-01-11 16:25:24,EMPLOYEE,76211,76210,11190,65463,1381,505,427,899,2260,503,76211,65455,3093,0,76209,UNKNOWN,76212
55,st_step_class_0,76219,STAFF MEMBER,Permit APPROVED by SUPERVISOR,2017-01-11 16:25:37,SUPERVISOR,76211,76210,11190,65463,1381,505,427,899,2260,503,76211,65455,3093,0,76209,UNKNOWN,76212
56,st_step_class_0,76217,STAFF MEMBER,Permit FINAL_APPROVED by DIRECTOR,2017-01-12 09:56:40,DIRECTOR,76211,76210,11190,65463,1381,505,427,899,2260,503,76211,65455,3093,0,76209,UNKNOWN,76212
57,st_step_class_0,76222,STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2017-03-27 13:44:15,EMPLOYEE,76211,76210,11190,65463,1381,505,427,899,2260,503,76211,65455,3093,0,76209,UNKNOWN,76212
58,st_step_class_0,76220,STAFF MEMBER,Request For Payment APPROVED by PRE_APPROVER,2017-03-27 13:44:23,PRE_APPROVER,76211,76210,11190,65463,1381,505,427,899,2260,503,76211,65455,3093,0,76209,UNKNOWN,76212
59,st_step_class_0,76221,STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-03-29 08:29:46,SUPERVISOR,76211,76210,11190,65463,1381,505,427,899,2260,503,76211,65455,3093,0,76209,UNKNOWN,76212
60,rp_request_class_15,76211,SYSTEM,Request Payment,2017-04-03 13:15:36,UNDEFINED,76211,76210,11190,65463,1381,505,427,899,2260,503,76211,65455,3093,0,76209,UNKNOWN,76212
61,rp_request_class_16,76211,SYSTEM,Payment Handled,2017-04-06 15:31:01,UNDEFINED,76211,76210,11190,65463,1381,505,427,899,2260,503,76211,65455,3093,0,76209,UNKNOWN,76212
62,st_step_class_0,76218,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2017-01-11 16:25:24,EMPLOYEE,76213,76210,11190,65463,1214,505,427,899,2260,503,76213,65455,3093,0,76209,UNKNOWN,76214
63,st_step_class_0,76219,STAFF MEMBER,Permit APPROVED by SUPERVISOR,2017-01-11 16:25:37,SUPERVISOR,76213,76210,11190,65463,1214,505,427,899,2260,503,76213,65455,3093,0,76209,UNKNOWN,76214
64,st_step_class_0,76217,STAFF MEMBER,Permit FINAL_APPROVED by DIRECTOR,2017-01-12 09:56:40,DIRECTOR,76213,76210,11190,65463,1214,505,427,899,2260,503,76213,65455,3093,0,76209,UNKNOWN,76214
65,st_step_class_0,76223,STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2017-05-16 14:28:41,EMPLOYEE,76213,76210,11190,65463,1214,505,427,899,2260,503,76213,65455,3093,0,76209,UNKNOWN,76214
66,st_step_class_0,76225,STAFF MEMBER,Request For Payment APPROVED by PRE_APPROVER,2017-05-16 14:28:59,PRE_APPROVER,76213,76210,11190,65463,1214,505,427,899,2260,503,76213,65455,3093,0,76209,UNKNOWN,76214
67,st_step_class_0,76224,STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-05-18 07:18:31,SUPERVISOR,76213,76210,11190,65463,1214,505,427,899,2260,503,76213,65455,3093,0,76209,UNKNOWN,76214
68,rp_request_class_15,76213,SYSTEM,Request Payment,2017-05-19 06:41:41,UNDEFINED,76213,76210,11190,65463,1214,505,427,899,2260,503,76213,65455,3093,0,76209,UNKNOWN,76214
69,rp_request_class_16,76213,SYSTEM,Payment Handled,2017-05-22 15:31:10,UNDEFINED,76213,76210,11190,65463,1214,505,427,899,2260,503,76213,65455,3093,0,76209,UNKNOWN,76214
70,st_step_class_0,77882,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2017-01-11 17:02:47,EMPLOYEE,77877,77876,77879,65463,348,505,427,12141,77396,503,77877,65455,634,0,77875,UNKNOWN,77878
71,st_step_class_0,77883,STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2017-01-11 17:04:54,SUPERVISOR,77877,77876,77879,65463,348,505,427,12141,77396,503,77877,65455,634,0,77875,UNKNOWN,77878
72,st_step_class_0,77885,STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2017-03-07 08:22:00,EMPLOYEE,77877,77876,77879,65463,348,505,427,12141,77396,503,77877,65455,634,0,77875,UNKNOWN,77878
73,st_step_class_0,77886,STAFF MEMBER,Request For Payment APPROVED by PRE_APPROVER,2017-03-07 08:22:48,PRE_APPROVER,77877,77876,77879,65463,348,505,427,12141,77396,503,77877,65455,634,0,77875,UNKNOWN,77878
74,st_step_class_0,77884,STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-03-13 10:30:21,SUPERVISOR,77877,77876,77879,65463,348,505,427,12141,77396,503,77877,65455,634,0,77875,UNKNOWN,77878
75,rp_request_class_15,77877,SYSTEM,Request Payment,2017-03-21 13:18:44,UNDEFINED,77877,77876,77879,65463,348,505,427,12141,77396,503,77877,65455,634,0,77875,UNKNOWN,77878
76,rp_request_class_16,77877,SYSTEM,Payment Handled,2017-03-23 16:30:45,UNDEFINED,77877,77876,77879,65463,348,505,427,12141,77396,503,77877,65455,634,0,77875,UNKNOWN,77878
77,st_step_class_0,185379,STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2017-01-16 08:09:35,EMPLOYEE,185377,424,3445,65458,1303,505,427,425,426,503,185377,65454,923,0,423,UNKNOWN,185378
78,st_step_class_0,185380,STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-16 08:10:17,SUPERVISOR,185377,424,3445,65458,1303,505,427,425,426,503,185377,65454,923,0,423,UNKNOWN,185378
79,rp_request_class_15,185377,SYSTEM,Request Payment,2017-01-18 15:11:36,UNDEFINED,185377,424,3445,65458,1303,505,427,425,426,503,185377,65454,923,0,423,UNKNOWN,185378
80,rp_request_class_16,185377,SYSTEM,Payment Handled,2017-01-23 16:32:19,UNDEFINED,185377,424,3445,65458,1303,505,427,425,426,503,185377,65454,923,0,423,UNKNOWN,185378
81,st_step_class_0,185344,STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2017-01-16 08:16:14,EMPLOYEE,185342,424,3445,65458,1518,505,427,425,426,503,185342,65454,923,0,423,UNKNOWN,185343
82,st_step_class_0,185345,STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-16 08:16:24,SUPERVISOR,185342,424,3445,65458,1518,505,427,425,426,503,185342,65454,923,0,423,UNKNOWN,185343
83,rp_request_class_15,185342,SYSTEM,Request Payment,2017-01-18 15:10:58,UNDEFINED,185342,424,3445,65458,1518,505,427,425,426,503,185342,65454,923,0,423,UNKNOWN,185343
84,rp_request_class_16,185342,SYSTEM,Payment Handled,2017-01-23 16:32:19,UNDEFINED,185342,424,3445,65458,1518,505,427,425,426,503,185342,65454,923,0,423,UNKNOWN,185343
85,st_step_class_0,76401,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2017-01-17 09:24:51,EMPLOYEE,76396,76395,53675,65463,886,505,427,6198,17911,503,76396,65455,1522,0,76394,UNKNOWN,76397
86,st_step_class_0,76400,STAFF MEMBER,Permit APPROVED by SUPERVISOR,2017-01-17 09:25:19,SUPERVISOR,76396,76395,53675,65463,886,505,427,6198,17911,503,76396,65455,1522,0,76394,UNKNOWN,76397
87,st_step_class_0,76402,STAFF MEMBER,Permit FINAL_APPROVED by DIRECTOR,2017-01-17 12:17:01,DIRECTOR,76396,76395,53675,65463,886,505,427,6198,17911,503,76396,65455,1522,0,76394,UNKNOWN,76397
88,st_step_class_0,76403,STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2017-03-27 15:20:34,EMPLOYEE,76396,76395,53675,65463,886,505,427,6198,17911,503,76396,65455,1522,0,76394,UNKNOWN,76397
89,st_step_class_0,76404,STAFF MEMBER,Request For Payment APPROVED by PRE_APPROVER,2017-03-27 15:21:31,PRE_APPROVER,76396,76395,53675,65463,886,505,427,6198,17911,503,76396,65455,1522,0,76394,UNKNOWN,76397
90,st_step_class_0,76405,STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-03-28 08:00:22,SUPERVISOR,76396,76395,53675,65463,886,505,427,6198,17911,503,76396,65455,1522,0,76394,UNKNOWN,76397
91,rp_request_class_15,76396,SYSTEM,Request Payment,2017-03-28 12:47:02,UNDEFINED,76396,76395,53675,65463,886,505,427,6198,17911,503,76396,65455,1522,0,76394,UNKNOWN,76397
92,rp_request_class_16,76396,SYSTEM,Payment Handled,2017-03-30 15:31:17,UNDEFINED,76396,76395,53675,65463,886,505,427,6198,17911,503,76396,65455,1522,0,76394,UNKNOWN,76397
93,st_step_class_0,73043,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2017-01-18 19:59:18,EMPLOYEE,73039,73038,UNKNOWN,65458,1164,UNKNOWN,UNKNOWN,475,UNKNOWN,503,73039,65458,2125,0,73037,UNKNOWN,73040
94,st_step_class_0,73044,STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2017-01-18 19:59:28,SUPERVISOR,73039,73038,UNKNOWN,65458,1164,UNKNOWN,UNKNOWN,475,UNKNOWN,503,73039,65458,2125,0,73037,UNKNOWN,73040
95,st_step_class_0,73046,STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2017-01-19 19:35:15,EMPLOYEE,73039,73038,UNKNOWN,65458,1164,UNKNOWN,UNKNOWN,475,UNKNOWN,503,73039,65458,2125,0,73037,UNKNOWN,73040
96,st_step_class_0,73045,STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-19 19:37:34,SUPERVISOR,73039,73038,UNKNOWN,65458,1164,UNKNOWN,UNKNOWN,475,UNKNOWN,503,73039,65458,2125,0,73037,UNKNOWN,73040
97,rp_request_class_15,73039,SYSTEM,Request Payment,2017-01-20 11:14:28,UNDEFINED,73039,73038,UNKNOWN,65458,1164,UNKNOWN,UNKNOWN,475,UNKNOWN,503,73039,65458,2125,0,73037,UNKNOWN,73040
98,rp_request_class_16,73039,SYSTEM,Payment Handled,2017-01-23 16:32:19,UNDEFINED,73039,73038,UNKNOWN,65458,1164,UNKNOWN,UNKNOWN,475,UNKNOWN,503,73039,65458,2125,0,73037,UNKNOWN,73040
99,st_step_class_0,76428,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2017-01-18 21:32:21,EMPLOYEE,76424,76423,UNKNOWN,65476,3216,UNKNOWN,UNKNOWN,3712,UNKNOWN,503,76424,65455,5086,0,76422,7905,76425
100,st_step_class_0,76429,STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2017-01-18 21:32:35,SUPERVISOR,76424,76423,UNKNOWN,65476,3216,UNKNOWN,UNKNOWN,3712,UNKNOWN,503,76424,65455,5086,0,76422,7905,76425
101,st_step_class_0,76430,STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2017-01-20 18:49:01,EMPLOYEE,76424,76423,UNKNOWN,65476,3216,UNKNOWN,UNKNOWN,3712,UNKNOWN,503,76424,65455,5086,0,76422,7905,76425
102,st_step_class_0,76431,STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-20 18:49:18,SUPERVISOR,76424,76423,UNKNOWN,65476,3216,UNKNOWN,UNKNOWN,3712,UNKNOWN,503,76424,65455,5086,0,76422,7905,76425
103,rp_request_class_15,76424,SYSTEM,Request Payment,2017-02-10 10:31:02,UNDEFINED,76424,76423,UNKNOWN,65476,3216,UNKNOWN,UNKNOWN,3712,UNKNOWN,503,76424,65455,5086,0,76422,7905,76425
104,rp_request_class_16,76424,SYSTEM,Payment Handled,2017-02-13 16:32:18,UNDEFINED,76424,76423,UNKNOWN,65476,3216,UNKNOWN,UNKNOWN,3712,UNKNOWN,503,76424,65455,5086,0,76422,7905,76425
105,st_step_class_0,73262,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2017-01-19 12:33:36,EMPLOYEE,73258,73257,15842,65463,394,505,427,899,8761,503,73258,65455,891,0,73256,UNKNOWN,73259
106,st_step_class_0,73263,STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2017-01-19 12:33:38,SUPERVISOR,73258,73257,15842,65463,394,505,427,899,8761,503,73258,65455,891,0,73256,UNKNOWN,73259
107,st_step_class_0,73265,STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2017-03-06 15:20:35,EMPLOYEE,73258,73257,15842,65463,394,505,427,899,8761,503,73258,65455,891,0,73256,UNKNOWN,73259
108,st_step_class_0,73266,STAFF MEMBER,Request For Payment APPROVED by PRE_APPROVER,2017-03-06 15:21:33,PRE_APPROVER,73258,73257,15842,65463,394,505,427,899,8761,503,73258,65455,891,0,73256,UNKNOWN,73259
109,st_step_class_0,73264,STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-03-06 15:29:18,SUPERVISOR,73258,73257,15842,65463,394,505,427,899,8761,503,73258,65455,891,0,73256,UNKNOWN,73259
110,rp_request_class_15,73258,SYSTEM,Request Payment,2017-03-07 09:28:45,UNDEFINED,73258,73257,15842,65463,394,505,427,899,8761,503,73258,65455,891,0,73256,UNKNOWN,73259
111,rp_request_class_16,73258,SYSTEM,Payment Handled,2017-03-09 16:31:22,UNDEFINED,73258,73257,15842,65463,394,505,427,899,8761,503,73258,65455,891,0,73256,UNKNOWN,73259
112,st_step_class_0,76584,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2017-01-20 07:19:48,EMPLOYEE,76579,76578,UNKNOWN,65463,303,UNKNOWN,UNKNOWN,6198,UNKNOWN,503,76579,65455,606,0,76577,7366,76580
